,Unnamed: 0,id,organization_id,name,type,age,gender,size,url,city,state,zip code,country
1028,1065.0,70488642.0,IA269,Mikey,Cat,Adult,Male,Large,https://www.petfinder.com/cat/mikey-70488642/ia/perry/raccoon-river-pet-rescue-ia269/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Austin, TX, 78704, US
1029,1066.0,70488713.0,NV188,Timothy,Dog,Senior,Male,Small,https://www.petfinder.com/dog/timothy-70488713/nv/silver-springs/lyon-county-animal-services-nv188/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Austin, TX, 78704, US
1030,1067.0,70488710.0,CA1727,Highlighter,Dog,Baby,Female,Small,https://www.petfinder.com/dog/highlighter-70488710/ca/kingsburg/pawsitive-connections-ca1727/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Austin, TX, 78704, US
1031,1068.0,70488711.0,CA559,Jerry,Cat,Young,Male,Medium,https://www.petfinder.com/cat/jerry-70488711/ca/dublin/east-bay-spca-dublin-adoption-center-ca559/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Austin, TX, 78704, US
1033,1070.0,70488709.0,TX2761,Silver,Dog,Adult,Male,Large,https://www.petfinder.com/dog/silver-70488709/tx/pflugerville/jack-jacks-pack-street-dog-rescue-tx2761/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Austin, TX, 78704, US
1034,1071.0,70488702.0,IA208,Mary Shelley,Cat,Adult,Female,Medium,https://www.petfinder.com/cat/mary-shelley-70488702/ia/cedar-rapids/saint-rescue-ia208/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Austin, TX, 78704, US
1036,1073.0,70488704.0,IA208,Wm Shakespear,Cat,Adult,Male,Medium,https://www.petfinder.com/cat/wm-shakespear-70488704/ia/cedar-rapids/saint-rescue-ia208/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Austin, TX, 78704, US
1037,1074.0,70488705.0,IA208,F Scott Fitzgerald,Cat,Adult,Male,Medium,https://www.petfinder.com/cat/f-scott-fitzgerald-70488705/ia/cedar-rapids/saint-rescue-ia208/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Austin, TX, 78704, US
1038,1075.0,70488706.0,IA208,Lambeau,Cat,Young,Male,Medium,https://www.petfinder.com/cat/lambeau-70488706/ia/cedar-rapids/saint-rescue-ia208/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Austin, TX, 78704, US
1039,1076.0,70488707.0,IA208,Frank,Cat,Adult,Male,Medium,https://www.petfinder.com/cat/frank-70488707/ia/cedar-rapids/saint-rescue-ia208/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Austin, TX, 78704, US
