,Unnamed: 0,id,organization_id,name,type,age,gender,size,url,city,state,zip code,country
416,427.0,70489571.0,AB150,Baxter,Dog,Young,Male,Large,https://www.petfinder.com/dog/baxter-70489571/ab/calgary/from-the-streetz-rescue-foundation-ab150/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Harlingen, TX, 78550, US
417,428.0,70489570.0,IN427,brandy,Dog,Adult,Female,Medium,https://www.petfinder.com/dog/brandy-70489570/in/marion/marion-animal-care-and-control-in427/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Harlingen, TX, 78550, US
418,429.0,70489568.0,LA448,Squeaky,Cat,Young,Female,Medium,https://www.petfinder.com/cat/squeaky-70489568/la/hammond/fort-feline-rescue-la448/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Harlingen, TX, 78550, US
419,430.0,70489566.0,PA1015,Tiny Two,Cat,Adult,Male,Large,https://www.petfinder.com/cat/tiny-two-70489566/pa/erie/erie-animal-network-pa1015/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Harlingen, TX, 78550, US
420,431.0,70489563.0,NC1192,Balsam,Dog,Adult,Male,Large,https://www.petfinder.com/dog/balsam-70489563/nc/clyde/misfit-mountain-nc1192/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Harlingen, TX, 78550, US
421,432.0,70489555.0,MI812,Blue Grassy Pants! Adoption Sponsored! ,Dog,Adult,Male,Large,https://www.petfinder.com/dog/blue-grassy-pants-adoption-sponsored-70489555/mi/eastpointe/misfit-angels-dog-rescue-mi812/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, San Jacinto, CA, 92582, US
422,433.0,70489548.0,NY33,Gabby,Dog,Adult,Female,Medium,https://www.petfinder.com/dog/gabby-70489548/ny/watertown/jefferson-county-s-dot-pc-dot-a-ny33/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, San Jacinto, CA, 92582, US
423,434.0,70489549.0,NY33,Frost,Cat,Baby,Female,Small,https://www.petfinder.com/cat/frost-70489549/ny/watertown/jefferson-county-s-dot-pc-dot-a-ny33/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Yaphank, NY, 11980, US
424,435.0,70489550.0,NY33,Lucy,Dog,Senior,Female,Medium,https://www.petfinder.com/dog/lucy-70489550/ny/watertown/jefferson-county-s-dot-pc-dot-a-ny33/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Montville, NJ, 07045, US
425,436.0,70489551.0,NY33,Fatima,Cat,Young,Female,Medium,https://www.petfinder.com/cat/fatima-70489551/ny/watertown/jefferson-county-s-dot-pc-dot-a-ny33/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, West Palm Beach, FL, 33409, US
426,437.0,70489552.0,NY33,Marty,Dog,Adult,Male,Medium,https://www.petfinder.com/dog/marty-70489552/ny/watertown/jefferson-county-s-dot-pc-dot-a-ny33/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, West Palm Beach, FL, 33409, US
428,439.0,70489554.0,NY33,Margot,Cat,Adult,Female,Medium,https://www.petfinder.com/cat/margot-70489554/ny/watertown/jefferson-county-s-dot-pc-dot-a-ny33/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, West Palm Beach, FL, 33409, US
429,440.0,70489547.0,TX2562,Stan,Cat,Baby,Male,Small,https://www.petfinder.com/cat/stan-70489547/tx/corpus-christi/edgar-and-ivys-cat-sanctuary-inc-tx2562/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, West Palm Beach, FL, 33409, US
430,441.0,70489545.0,TX2562,Winter,Cat,Baby,Female,Small,https://www.petfinder.com/cat/winter-70489545/tx/corpus-christi/edgar-and-ivys-cat-sanctuary-inc-tx2562/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Jackson, MI, 49202, US
431,442.0,70489546.0,TX2562,Archie,Cat,Baby,Male,Small,https://www.petfinder.com/cat/archie-70489546/tx/corpus-christi/edgar-and-ivys-cat-sanctuary-inc-tx2562/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Wilmington, NC, 28401, US
432,443.0,70489537.0,FL852,Hershey,Dog,Young,Female,Small,https://www.petfinder.com/dog/hershey-70489537/fl/loxahatchee/big-dog-ranch-rescue-fl852/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, MARION, IN, 46952, US
435,446.0,70489540.0,FL852,Jackie,Dog,Young,Female,Small,https://www.petfinder.com/dog/jackie-70489540/fl/loxahatchee/big-dog-ranch-rescue-fl852/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Momence, IL, 60954, US
436,447.0,70489541.0,FL852,Mimosa AKA Ripley,Dog,Young,Female,Medium,https://www.petfinder.com/dog/mimosa-aka-ripley-70489541/fl/loxahatchee/big-dog-ranch-rescue-fl852/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Ocala, FL, 34481, US
437,448.0,70489533.0,FL852,Prince,Dog,Young,Male,Small,https://www.petfinder.com/dog/prince-70489533/fl/loxahatchee/big-dog-ranch-rescue-fl852/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Ocala, FL, 34481, US
438,449.0,70489534.0,FL852,Lola,Dog,Young,Female,Small,https://www.petfinder.com/dog/lola-70489534/fl/loxahatchee/big-dog-ranch-rescue-fl852/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Ocala, FL, 34481, US
439,450.0,70489535.0,FL852,Shelly,Dog,Adult,Female,Large,https://www.petfinder.com/dog/shelly-70489535/fl/loxahatchee/big-dog-ranch-rescue-fl852/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Tulare, CA, 93274, US
440,451.0,70489536.0,FL852,Hero,Dog,Adult,Male,Small,https://www.petfinder.com/dog/hero-70489536/fl/loxahatchee/big-dog-ranch-rescue-fl852/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Tulare, CA, 93274, US
441,452.0,70489531.0,NY1417,Midge,Dog,Baby,Female,Small,https://www.petfinder.com/dog/midge-70489531/ny/yaphank/new-york-safe-haven-animal-rescue-ny1417/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Tulare, CA, 93274, US
442,453.0,70489391.0,MI85,Tiana,Dog,Young,Female,Large,https://www.petfinder.com/dog/tiana-70489391/mi/grayling/ausable-valley-animal-shelter-mi85/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Nashville, TN, 37217, US
443,454.0,70489528.0,CA229,Wendigo,Cat,Young,Male,Small,https://www.petfinder.com/cat/wendigo-70489528/ca/fresno/valley-animal-center-ca229/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Wilmington, NC, 28401, US
444,455.0,70489527.0,IN427,paco,Dog,Young,Male,Medium,https://www.petfinder.com/dog/paco-70489527/in/marion/marion-animal-care-and-control-in427/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Bethel, OH, 45106, US
445,456.0,70489523.0,CT571,Willow,Dog,Young,Female,Medium,https://www.petfinder.com/dog/willow-70489523/ct/woodbury/a-pups-pizzazz-ct571/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Indianapolis, IN, 46236, US
447,458.0,70489519.0,TX2269,Keedum Loves Netflix Nights,Dog,Senior,Male,Large,https://www.petfinder.com/dog/keedum-loves-netflix-nights-70489519/tx/austin/three-little-pitties-rescue-tx2269/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Raleigh, NC, 27610, US
448,459.0,70489511.0,TX1317,Beautiful Boy,Cat,Adult,Male,Medium,https://www.petfinder.com/cat/beautiful-boy-70489511/tx/harlingen/rio-grande-valley-humane-society-tx1317/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Raleigh, NC, 27610, US
449,460.0,70489512.0,TX1317,Papi,Cat,Adult,Male,Large,https://www.petfinder.com/cat/papi-70489512/tx/harlingen/rio-grande-valley-humane-society-tx1317/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, MARION, IN, 46952, US
450,461.0,70489513.0,TX1317,Rodney,Dog,Young,Male,Small,https://www.petfinder.com/dog/rodney-70489513/tx/harlingen/rio-grande-valley-humane-society-tx1317/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Greenville, SC, 29609, US
451,462.0,70489514.0,TX1317,Gizmo,Dog,Young,Male,Small,https://www.petfinder.com/dog/gizmo-70489514/tx/harlingen/rio-grande-valley-humane-society-tx1317/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Bethel, OH, 45106, US
452,463.0,70489515.0,TX1317,Crabby Pants,Cat,Adult,Male,Medium,https://www.petfinder.com/cat/crabby-pants-70489515/tx/harlingen/rio-grande-valley-humane-society-tx1317/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Frankfort, IN, 46041, US
453,464.0,70489516.0,TX1317,Noir // 58571,Dog,Adult,Female,Medium,https://www.petfinder.com/dog/noir-58571-70489516/tx/harlingen/rio-grande-valley-humane-society-tx1317/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, El Cajon, CA, 92020, US
454,465.0,70489517.0,TX1317,Maximiliano,Dog,Adult,Male,Small,https://www.petfinder.com/dog/maximiliano-70489517/tx/harlingen/rio-grande-valley-humane-society-tx1317/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, St. Cloud, FL, 34772, US
455,466.0,70489509.0,CA2515,Blue Boy,Cat,Adult,Male,Small,https://www.petfinder.com/cat/blue-boy-70489509/ca/san-jacinto/let-them-be-little-feline-rescue-ca2515/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, West Hartford, CT, 06107, US
456,467.0,70489510.0,CA2515,Felix,Cat,Young,Male,Small,https://www.petfinder.com/cat/felix-70489510/ca/san-jacinto/let-them-be-little-feline-rescue-ca2515/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Buffalo, NY, 14201, US
457,468.0,70489506.0,NY1417,Buster Brown,Dog,Baby,Male,Small,https://www.petfinder.com/dog/buster-brown-70489506/ny/yaphank/new-york-safe-haven-animal-rescue-ny1417/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Appleton, WI, 54913, US
458,469.0,70489504.0,NJ181,Flower,Cat,Young,Female,Medium,https://www.petfinder.com/cat/flower-70489504/nj/montville/montville-animal-shelter-nj181/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, West Haven, CT, 06516, US
459,470.0,70489498.0,FL279,Boots,Cat,Senior,Male,Large,https://www.petfinder.com/cat/boots-70489498/fl/west-palm-beach/peggy-adams-animal-rescue-league-fl279/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Calais, ME, 04619, US
460,471.0,70489499.0,FL279,Hanna,Dog,Adult,Female,Medium,https://www.petfinder.com/dog/hanna-70489499/fl/west-palm-beach/peggy-adams-animal-rescue-league-fl279/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Hickory, NC, 28601, US
461,472.0,70489500.0,FL279,Judy,Cat,Baby,Male,Small,https://www.petfinder.com/cat/judy-70489500/fl/west-palm-beach/peggy-adams-animal-rescue-league-fl279/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Montville, NJ, 07045, US
463,474.0,70489502.0,FL279,Honey,Dog,Young,Female,Medium,https://www.petfinder.com/dog/honey-70489502/fl/west-palm-beach/peggy-adams-animal-rescue-league-fl279/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, MARION, IN, 46952, US
464,475.0,70489503.0,FL279,Luna,Dog,Adult,Female,Small,https://www.petfinder.com/dog/luna-70489503/fl/west-palm-beach/peggy-adams-animal-rescue-league-fl279/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Woolwich, ME, 04579, US
465,476.0,70489496.0,MI340,Nelly,Dog,Adult,Female,Medium,https://www.petfinder.com/dog/nelly-70489496/mi/jackson/cascades-humane-society-mi340/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Ocala, FL, 34482, US
466,477.0,70489494.0,NC1018,Cognac,Dog,Baby,Male,Medium,https://www.petfinder.com/dog/cognac-70489494/nc/wilmington/it-takes-a-village-rescue-nc1018/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Greenville, SC, 29609, US
467,478.0,70489492.0,IN427,harley,Dog,Adult,Male,Large,https://www.petfinder.com/dog/harley-70489492/in/marion/marion-animal-care-and-control-in427/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Christiansburg, VA, 24073, US
468,479.0,70489490.0,TX1135,Sunflower,Cat,Adult,Female,Small,https://www.petfinder.com/cat/sunflower-70489490/tx/corpus-christi/the-cattery-tx1135/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, MARION, IN, 46952, US
469,480.0,70489491.0,TX1135,Stephanie,Cat,Young,Female,Small,https://www.petfinder.com/cat/stephanie-70489491/tx/corpus-christi/the-cattery-tx1135/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Calais, ME, 04619, US
470,481.0,70489489.0,IL786,Baby,Dog,Baby,Female,Medium,https://www.petfinder.com/dog/baby-70489489/il/momence/river-valley-animal-rescue-il786/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Holly, MI, 48442, US
471,482.0,70489481.0,FL216,Chase,Dog,Young,Male,Large,https://www.petfinder.com/dog/chase-70489481/fl/ocala/humane-society-of-marion-county-fl216/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Laurel, MD, 20725, US
473,484.0,70489483.0,FL216,Gomez Addams,Dog,Adult,Male,Large,https://www.petfinder.com/dog/gomez-addams-70489483/fl/ocala/humane-society-of-marion-county-fl216/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Appleton, WI, 54913, US
474,485.0,70489484.0,FL216,Socks,Cat,Adult,Female,Small,https://www.petfinder.com/cat/socks-70489484/fl/ocala/humane-society-of-marion-county-fl216/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, New Port Richey, FL, 34654, US
475,486.0,70489477.0,CA2099,Zena,Dog,Adult,Female,Large,https://www.petfinder.com/dog/zena-70489477/ca/tulare/tulare-animal-services-ca2099/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Des Moines, IA, 50313, US
476,487.0,70489478.0,CA2099,Starla,Dog,Adult,Female,Large,https://www.petfinder.com/dog/starla-70489478/ca/tulare/tulare-animal-services-ca2099/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Des Moines, IA, 50313, US
477,488.0,70489479.0,CA2099,Buck,Dog,Adult,Male,Medium,https://www.petfinder.com/dog/buck-70489479/ca/tulare/tulare-animal-services-ca2099/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Des Moines, IA, 50313, US
478,489.0,70489476.0,TN794,Rascal,Dog,Young,Male,Medium,https://www.petfinder.com/dog/rascal-70489476/tn/nashville/music-city-animal-rescue-tn794/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Waukesha, WI, 53187, US
479,490.0,70489473.0,NC1018,Lacey,Dog,Baby,Female,Medium,https://www.petfinder.com/dog/lacey-70489473/nc/wilmington/it-takes-a-village-rescue-nc1018/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Waukesha, WI, 53187, US
480,491.0,70489472.0,OH1281,Sebastian ,Cat,Baby,Male,Medium,https://www.petfinder.com/cat/sebastian-70489472/oh/bethel/fostering-felines-oh1281/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Waukesha, WI, 53187, US
481,492.0,70489470.0,IN487,Aubrey,Cat,Adult,Female,Medium,https://www.petfinder.com/cat/aubrey-70489470/in/indianapolis/robins-nest-of-indy-in487/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Appleton, WI, 54913, US
482,493.0,70489468.0,MI812,Lulu Lemon! Shorty girl! Adoption Sponsored! ,Dog,Adult,Female,Medium,https://www.petfinder.com/dog/lulu-lemon-shorty-girl-adoption-sponsored-70489468/mi/eastpointe/misfit-angels-dog-rescue-mi812/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Montville, NJ, 07045, US
483,494.0,70489463.0,NC16,Kristoff,Cat,Young,Male,Medium,https://www.petfinder.com/cat/kristoff-70489463/nc/raleigh/wake-county-animal-center-nc16/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Calais, ME, 04619, US
484,495.0,70489464.0,NC16,Aurora,Dog,Young,Female,Medium,https://www.petfinder.com/dog/aurora-70489464/nc/raleigh/wake-county-animal-center-nc16/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, El Cajon, CA, 92020, US
485,496.0,70489462.0,IN427,rocky,Dog,Adult,Male,Large,https://www.petfinder.com/dog/rocky-70489462/in/marion/marion-animal-care-and-control-in427/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Ocean Springs, MS, 39564, US
486,497.0,70489461.0,SC594,Dewie,Dog,Adult,Female,Large,https://www.petfinder.com/dog/dewie-70489461/sc/greenville/licks-of-love-inc-sc594/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Olympia, WA, 98501, US
487,498.0,70489460.0,OH1281,Scuttle ,Cat,Baby,Male,Medium,https://www.petfinder.com/cat/scuttle-70489460/oh/bethel/fostering-felines-oh1281/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, MARION, IN, 46952, US
488,499.0,70489459.0,IN76,Earline,Dog,Baby,Female,Medium,https://www.petfinder.com/dog/earline-70489459/in/frankfort/the-humane-society-of-clinton-county-indiana-in76/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Appleton, WI, 54913, US
489,500.0,70489452.0,CA2903,sable  ,Dog,Adult,Female,Small,https://www.petfinder.com/dog/sable-70489452/ca/el-cajon/kanes-k9s-and-animal-rescue-ca2903/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Oklahoma City, OK, 73129, US
490,501.0,70489450.0,FL1814,Zelda,Dog,Young,Female,Small,https://www.petfinder.com/dog/zelda-70489450/fl/st-cloud/mending-souls-fl1814/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Appleton, WI, 54913, US
491,502.0,70489449.0,NC1007,~Piper and Prue~,Dog,Young,Female,Medium,https://www.petfinder.com/dog/piper-and-prue-70489449/ct/west-hartford/great-divide-animal-rescue-inc-nc1007/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, BURNABY, BC, V3J 1N3, CA
492,503.0,70489448.0,NY1447,Pongo ,Dog,Baby,Male,Medium,https://www.petfinder.com/dog/pongo-70489448/ny/buffalo/puppy-mill-rescue-team-ny1447/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Golden, CO, 80401, US
493,504.0,70489447.0,WI264,Jackson,Dog,Young,Male,Extra Large,https://www.petfinder.com/dog/jackson-70489447/wi/appleton/saving-paws-animal-rescue-wi264/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, BURNABY, BC, V3J 1N3, CA
494,505.0,70489445.0,CT625,Finn,Dog,Young,Male,Large,https://www.petfinder.com/dog/finn-70489445/ct/west-haven/tobys-dream-rescue-ct625/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Appleton, WI, 54913, US
495,506.0,70489444.0,ME03,MoMo and Mouse,Cat,Young,Female,Medium,https://www.petfinder.com/cat/momo-and-mouse-70489444/me/calais/paws-brave-hearts-me03/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, BURNABY, BC, V3J 1N3, CA
