,id,organization_id,name,type,age,gender,size,city,state,url
226,70489819.0,TN25,Alex,Dog,Adult,Female,Small, Fort Smith, AR,https://www.petfinder.com/dog/alex-70489819/tn/chattanooga/humane-educational-society-of-chattanooga-tn-tn25/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
227,70489814.0,CA2713,KEIRA,Dog,Adult,Female,Medium, Locust Grove, GA,https://www.petfinder.com/dog/keira-70489814/ca/rowland-heights/vida-rescue-ca2713/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
228,70489812.0,FL1626,Cookie,Cat,Baby,Female,Small, Locust Grove, GA,https://www.petfinder.com/cat/cookie-70489812/fl/tavares/hoffmeyer-animal-rescue-fl1626/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
229,70489806.0,VA629,Peeta,Dog,Adult,Male,Small, Locust Grove, GA,https://www.petfinder.com/dog/peeta-70489806/va/fredericksburg/old-dominion-humane-society-va629/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
230,70489811.0,TN807,Juju,Cat,Baby,Female,Small, Locust Grove, GA,https://www.petfinder.com/cat/juju-70489811/tn/murfreesboro/rutherford-county-cat-rescue-tn807/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
231,70489807.0,NC1192,Sophie,Dog,Adult,Female,Medium, Trenton, NJ,https://www.petfinder.com/dog/sophie-70489807/nc/clyde/misfit-mountain-nc1192/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
232,70489805.0,NC1192,Novak,Dog,Adult,Male,Large, Eastpointe, MI,https://www.petfinder.com/dog/novak-70489805/nc/clyde/misfit-mountain-nc1192/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
233,70489802.0,IN287,Raven,Dog,Baby,Female,Large, Salisbury, NC,https://www.petfinder.com/dog/raven-70489802/in/indianapolis/love-of-labs-in287/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
234,70489801.0,NC1192,Axel,Dog,Adult,Male,Large, St. George, SC,https://www.petfinder.com/dog/axel-70489801/nc/clyde/misfit-mountain-nc1192/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
235,70489800.0,NC1192,Roxie,Dog,Young,Female,Large, Salem, OR,https://www.petfinder.com/dog/roxie-70489800/nc/clyde/misfit-mountain-nc1192/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
236,70489799.0,TX2269,Phoebe Buffay,Dog,Adult,Female,Medium, Salem, OR,https://www.petfinder.com/dog/phoebe-buffay-70489799/tx/austin/three-little-pitties-rescue-tx2269/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
