,id,organization_id,state,name,type,age,gender,size,url
233,70489802,IN287,IN,Raven,Dog,Baby,Female,Large,https://www.petfinder.com/dog/raven-70489802/in/indianapolis/love-of-labs-in287/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
234,70489801,NC1192,NC,Axel,Dog,Adult,Male,Large,https://www.petfinder.com/dog/axel-70489801/nc/clyde/misfit-mountain-nc1192/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
235,70489800,NC1192,NC,Roxie,Dog,Young,Female,Large,https://www.petfinder.com/dog/roxie-70489800/nc/clyde/misfit-mountain-nc1192/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
236,70489799,TX2269,TX,Phoebe Buffay,Dog,Adult,Female,Medium,https://www.petfinder.com/dog/phoebe-buffay-70489799/tx/austin/three-little-pitties-rescue-tx2269/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
237,70489795,IL889,IL,Mini,Cat,Senior,Female,Medium,https://www.petfinder.com/cat/mini-70489795/il/marion/finding-forever-animal-rescue-il889/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
238,70489796,IL889,IL,Buddy,Cat,Senior,Male,Medium,https://www.petfinder.com/cat/buddy-70489796/il/marion/finding-forever-animal-rescue-il889/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
239,70489797,IL889,IL,Taz,Cat,Adult,Female,Medium,https://www.petfinder.com/cat/taz-70489797/il/marion/finding-forever-animal-rescue-il889/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
240,70489798,IL889,IL,Butters,Cat,Adult,Male,Medium,https://www.petfinder.com/cat/butters-70489798/il/marion/finding-forever-animal-rescue-il889/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
241,70489793,NC1192,NC,Dancer,Dog,Adult,Female,Medium,https://www.petfinder.com/dog/dancer-70489793/nc/clyde/misfit-mountain-nc1192/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
242,70489792,CA2713,CA,ALDO,Dog,Adult,Male,Medium,https://www.petfinder.com/dog/aldo-70489792/ca/rowland-heights/vida-rescue-ca2713/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
243,70489790,AR372,AR,Anna,Cat,Young,Female,Medium,https://www.petfinder.com/cat/anna-70489790/ar/fort-smith/fort-smith-animal-haven-ar372/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
244,70489791,AR372,AR,Elsa,Cat,Young,Female,Medium,https://www.petfinder.com/cat/elsa-70489791/ar/fort-smith/fort-smith-animal-haven-ar372/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
245,70489784,GA830,GA,Lucille Ball,Cat,Young,Female,Small,https://www.petfinder.com/cat/lucille-ball-70489784/ga/locust-grove/street-paws-inc-ga830/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
246,70489785,GA830,GA,Ricky Ricardo,Cat,Young,Male,Small,https://www.petfinder.com/cat/ricky-ricardo-70489785/ga/locust-grove/street-paws-inc-ga830/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
247,70489786,GA830,GA,Cupid,Cat,Young,Male,Small,https://www.petfinder.com/cat/cupid-70489786/ga/locust-grove/street-paws-inc-ga830/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
248,70489787,GA830,GA,Lovey,Cat,Young,Female,Small,https://www.petfinder.com/cat/lovey-70489787/ga/locust-grove/street-paws-inc-ga830/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
249,70489788,GA830,GA,Dovey,Cat,Young,Female,Small,https://www.petfinder.com/cat/dovey-70489788/ga/locust-grove/street-paws-inc-ga830/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
250,70489789,NJ736,NJ,Lil Bit,Cat,Baby,Female,Medium,https://www.petfinder.com/cat/lil-bit-70489789/nj/trenton/trenton-cats-rescue-nj736/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
251,70489782,MI812,MI,D-O-G! Loves other dogs! ,Dog,Young,Male,Large,https://www.petfinder.com/dog/d-o-g-loves-other-dogs-70489782/mi/eastpointe/misfit-angels-dog-rescue-mi812/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
252,70489781,NC1056,NC,Honi,Dog,Adult,Female,Large,https://www.petfinder.com/dog/honi-70489781/nc/salisbury/faith-hope-and-love-animal-rescue-nc-nc1056/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
253,70489780,SC592,SC,Cash,Dog,Young,Male,Extra Large,https://www.petfinder.com/dog/cash-70489780/sc/st-george/shangri-la-sanctuary-sc592/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
